Sender-KntNr,Empfaenger-KntNr,Verwendungszweck,Betrag,Buchungsdatum
AT77 0689 8601 7267 2419,AT87 6023 4362 1392 0577,Aktien,836.17,23.10.2017
AT11 8048 7611 7051 3113,AT57 0089 3636 6067 8915,,448.78,28.06.2018
AT96 2315 8547 9857 4362,AT47 9309 4409 4792 4785,Auto,918.53,25.07.2017
AT71 8337 5842 2084 3742,AT27 4281 9942 0389 1927,Leben,929.50,11.03.2017
AT37 2200 1453 3654 4508,AT78 6280 7841 3225 0685,Schulden,744.18,04.07.2017
AT71 7270 8831 6056 9024,AT52 4761 1464 4792 5682,Spende,915.37,22.09.2018
AT78 6280 7841 3225 0685,AT09 1239 5645 2894 7413,Neueinrichtung,234.55,08.01.2018
AT36 6263 5656 5947 3628,AT65 9915 4585 9244 5764,Leben,242.43,20.10.2018
AT89 1722 5241 3201 1443,AT87 6023 4362 1392 0577,Spende,344.98,10.06.2018
AT34 9862 5121 9751 5569,AT50 5914 7535 5076 3985,,509.74,18.04.2018
AT37 2200 1453 3654 4508,AT80 0414 2633 0638 0714,Aktien,796.29,02.05.2017
AT77 5714 5121 8373 3333,AT65 9915 4585 9244 5764,Warenhandel,66.88,14.03.2017
AT95 5079 3033 2191 2643,AT48 4644 0976 8993 2171,Auto,188.51,05.06.2017
AT05 1748 1837 7869 6873,AT37 2200 1453 3654 4508,Aktien,931.90,02.04.2017
AT65 9915 4585 9244 5764,AT27 4281 9942 0389 1927,Warenhandel,769.61,24.05.2017
AT71 7270 8831 6056 9024,AT81 1104 3648 6492 1249,Spende,444.03,03.06.2018
AT38 1771 0448 8518 9824,AT96 2315 8547 9857 4362,Neueinrichtung,904.83,08.10.2018
AT80 0414 2633 0638 0714,AT78 4116 4634 9458 1407,Warenhandel,91.15,19.05.2017
AT57 0089 3636 6067 8915,AT36 6263 5656 5947 3628,,848.53,07.08.2018
AT73 0351 6823 5615 7175,AT76 6888 8605 9695 7795,,899.16,28.02.2018
AT99 3877 4273 7047 3592,AT57 0089 3636 6067 8915,Aktien,542.91,17.02.2017
AT60 2383 6562 9293 9096,AT55 8940 9044 2599 2567,Leben,744.73,16.08.2018
AT77 5714 5121 8373 3333,AT34 1779 1973 2337 2860,Leben,46.72,08.04.2018
AT00 3837 1294 3259 1959,AT83 4593 9652 1831 9309,Schulden,244.51,23.05.2018
AT60 2383 6562 9293 9096,AT77 5714 5121 8373 3333,Aktien,982.42,19.08.2018
AT71 7270 8831 6056 9024,AT60 2383 6562 9293 9096,Warenhandel,604.56,25.06.2018
AT89 1722 5241 3201 1443,AT50 5914 7535 5076 3985,Schulden,522.72,18.12.2018
AT57 0089 3636 6067 8915,AT81 8069 2275 3090 5366,Neueinrichtung,92.52,03.06.2017
AT85 9841 6026 7949 4737,AT52 4761 1464 4792 5682,Neueinrichtung,7.19,02.05.2018
AT73 4879 0209 4159 7619,AT50 5914 7535 5076 3985,,856.91,11.06.2018
AT37 2200 1453 3654 4508,AT09 1239 5645 2894 7413,Warenhandel,102.00,22.12.2018
AT34 2568 3484 0062 8014,AT08 8242 4149 1806 1191,Neueinrichtung,515.75,22.11.2017
AT32 3293 7887 1273 6568,AT21 3259 6395 4314 9840,Schulden,817.58,18.03.2018
AT73 7449 0172 9499 3958,AT81 1104 3648 6492 1249,Neueinrichtung,940.59,05.03.2018
AT85 7494 8192 8332 9402,AT37 2200 1453 3654 4508,,773.29,23.10.2017
AT27 4281 9942 0389 1927,AT30 9896 8538 8240 1931,Neueinrichtung,86.25,23.06.2018
AT61 7283 8477 5641 3823,AT60 2383 6562 9293 9096,Leben,123.96,07.07.2018
AT99 3877 4273 7047 3592,AT49 7869 6462 7722 2559,,620.45,03.05.2018
AT80 3954 6633 3875 0597,AT73 2816 5898 3126 3532,Neueinrichtung,342.73,12.08.2018
AT58 0042 4020 9493 7961,AT85 7494 8192 8332 9402,,309.08,01.06.2018
AT11 9371 9162 5540 3652,AT08 8242 4149 1806 1191,Warenhandel,223.68,01.10.2018
AT34 2568 3484 0062 8014,AT83 4593 9652 1831 9309,Schulden,383.65,14.06.2018
AT77 0689 8601 7267 2419,AT21 3259 6395 4314 9840,Spende,7.86,24.09.2017
AT32 3293 7887 1273 6568,AT31 5368 4239 0622 2678,Schulden,718.90,28.08.2018
AT73 4879 0209 4159 7619,AT11 9371 9162 5540 3652,Warenhandel,184.21,25.05.2017
AT87 6023 4362 1392 0577,AT00 3837 1294 3259 1959,Leben,800.40,12.10.2017
AT11 8048 7611 7051 3113,AT99 3877 4273 7047 3592,Schulden,316.04,01.12.2018
AT71 7270 8831 6056 9024,AT99 3877 4273 7047 3592,Neueinrichtung,439.32,20.11.2017
AT10 0760 7731 4855 1789,AT82 8137 7112 6694 2806,Warenhandel,211.21,02.03.2017
AT21 3259 6395 4314 9840,AT34 2568 3484 0062 8014,Leben,12.54,13.05.2018
AT87 4186 5190 8996 4168,AT87 6023 4362 1392 0577,Neueinrichtung,943.83,25.05.2018
AT46 4038 8451 6269 6532,AT34 9862 5121 9751 5569,Aktien,610.84,03.01.2018
AT96 2315 8547 9857 4362,AT83 4593 9652 1831 9309,Leben,906.54,11.11.2017
AT11 9371 9162 5540 3652,AT78 6280 7841 3225 0685,Aktien,809.27,27.02.2018
AT34 9862 5121 9751 5569,AT73 0351 6823 5615 7175,Neueinrichtung,12.20,27.07.2017
AT82 8137 7112 6694 2806,AT34 2568 3484 0062 8014,Schulden,392.98,14.03.2017
AT17 4463 0026 7361 8389,AT78 6280 7841 3225 0685,Warenhandel,664.60,03.01.2017
AT17 4463 0026 7361 8389,AT73 7449 0172 9499 3958,Warenhandel,778.29,21.02.2018
AT11 9371 9162 5540 3652,AT08 8242 4149 1806 1191,Aktien,5.56,18.07.2017
AT60 2383 6562 9293 9096,AT34 1779 1973 2337 2860,Aktien,859.61,27.02.2017
AT61 7283 8477 5641 3823,AT83 2055 0343 5031 5242,Warenhandel,751.08,08.09.2018
AT45 2213 9912 6657 0320,AT81 1104 3648 6492 1249,Spende,433.88,02.01.2017
AT49 7869 6462 7722 2559,AT25 2252 4773 6239 8605,Aktien,785.26,14.04.2017
AT89 1722 5241 3201 1443,AT60 2383 6562 9293 9096,,990.33,16.11.2017
AT83 4593 9652 1831 9309,AT77 5714 5121 8373 3333,Spende,643.98,14.07.2017
AT38 1771 0448 8518 9824,AT77 5714 5121 8373 3333,Auto,468.19,20.02.2018
AT57 6282 2830 8723 9867,AT47 9309 4409 4792 4785,Leben,200.25,16.12.2018
AT82 8137 7112 6694 2806,AT27 4281 9942 0389 1927,Neueinrichtung,714.65,27.01.2017
AT38 1771 0448 8518 9824,AT34 1779 1973 2337 2860,Neueinrichtung,446.18,27.03.2017
AT46 4038 8451 6269 6532,AT65 9915 4585 9244 5764,Schulden,639.94,09.11.2018
AT11 8048 7611 7051 3113,AT36 6263 5656 5947 3628,Auto,471.52,04.06.2018
AT57 0089 3636 6067 8915,AT25 2252 4773 6239 8605,Neueinrichtung,690.57,14.11.2018
AT31 5368 4239 0622 2678,AT30 9896 8538 8240 1931,Schulden,308.49,17.12.2018
AT77 5714 5121 8373 3333,AT99 3877 4273 7047 3592,Auto,958.45,25.09.2017
AT09 1239 5645 2894 7413,AT49 7869 6462 7722 2559,Aktien,129.70,20.04.2018
AT77 5714 5121 8373 3333,AT80 0414 2633 0638 0714,Auto,249.43,25.01.2018
AT17 4463 0026 7361 8389,AT25 2252 4773 6239 8605,Leben,511.46,21.11.2017
AT80 0414 2633 0638 0714,AT36 6263 5656 5947 3628,Schulden,425.52,27.07.2018
AT83 4593 9652 1831 9309,AT00 3837 1294 3259 1959,Auto,408.95,23.02.2017
AT96 2315 8547 9857 4362,AT30 9896 8538 8240 1931,Warenhandel,223.57,24.11.2017
AT99 3877 4273 7047 3592,AT96 2315 8547 9857 4362,Neueinrichtung,623.78,19.03.2018
AT36 6263 5656 5947 3628,AT25 2252 4773 6239 8605,,446.42,23.08.2017
AT45 2213 9912 6657 0320,AT95 5079 3033 2191 2643,Warenhandel,607.65,14.05.2018
AT96 2315 8547 9857 4362,AT09 1239 5645 2894 7413,Schulden,233.58,08.02.2017
AT33 9460 1594 8170 4365,AT30 9896 8538 8240 1931,,660.20,21.10.2018
AT11 8048 7611 7051 3113,AT57 0089 3636 6067 8915,Spende,419.69,01.07.2018
AT80 0414 2633 0638 0714,AT89 1722 5241 3201 1443,Warenhandel,235.63,14.01.2017
AT31 5368 4239 0622 2678,AT76 6888 8605 9695 7795,Warenhandel,100.40,08.08.2017
AT49 7869 6462 7722 2559,AT57 0089 3636 6067 8915,Schulden,475.89,12.02.2017
AT25 2252 4773 6239 8605,AT78 6280 7841 3225 0685,Spende,525.65,04.01.2017
AT49 7869 6462 7722 2559,AT65 9915 4585 9244 5764,Warenhandel,340.48,14.02.2017
AT47 9309 4409 4792 4785,AT37 2200 1453 3654 4508,Schulden,807.18,07.06.2018
AT38 1771 0448 8518 9824,AT34 9862 5121 9751 5569,Aktien,357.25,21.11.2017
AT81 1104 3648 6492 1249,AT81 8069 2275 3090 5366,Warenhandel,99.21,20.05.2018
AT78 6280 7841 3225 0685,AT11 8048 7611 7051 3113,,894.99,03.11.2017
AT61 7283 8477 5641 3823,AT99 3877 4273 7047 3592,Neueinrichtung,470.22,01.07.2017
AT30 9896 8538 8240 1931,AT78 4116 4634 9458 1407,Leben,984.25,04.08.2017
AT81 1104 3648 6492 1249,AT73 7449 0172 9499 3958,Warenhandel,806.20,06.03.2017
AT73 7449 0172 9499 3958,AT94 6088 9228 6351 2124,Warenhandel,599.85,02.11.2018
AT95 5079 3033 2191 2643,AT81 1104 3648 6492 1249,Warenhandel,661.75,14.08.2018
AT61 7283 8477 5641 3823,AT37 4165 0290 7991 9354,Neueinrichtung,409.86,13.11.2017
AT80 0414 2633 0638 0714,AT30 9896 8538 8240 1931,Neueinrichtung,95.48,05.06.2017
AT80 0414 2633 0638 0714,AT27 4281 9942 0389 1927,Warenhandel,474.17,06.01.2018
AT17 4463 0026 7361 8389,AT77 5714 5121 8373 3333,Spende,24.40,05.12.2018
AT49 7869 6462 7722 2559,AT77 5714 5121 8373 3333,Neueinrichtung,491.36,15.03.2017
AT76 6888 8605 9695 7795,AT56 8206 6127 2233 7903,,995.68,26.08.2017
AT85 9841 6026 7949 4737,AT73 0351 6823 5615 7175,Neueinrichtung,783.02,21.08.2018
AT71 7270 8831 6056 9024,AT55 8940 9044 2599 2567,Schulden,986.67,26.11.2018
AT77 5714 5121 8373 3333,AT85 7494 8192 8332 9402,Aktien,772.57,17.09.2017
AT38 1771 0448 8518 9824,AT95 5079 3033 2191 2643,,842.56,25.07.2017
AT61 7283 8477 5641 3823,AT00 3837 1294 3259 1959,Leben,243.49,12.09.2017
AT00 3837 1294 3259 1959,AT80 0414 2633 0638 0714,Spende,943.12,15.07.2017
AT08 8242 4149 1806 1191,AT37 2200 1453 3654 4508,Leben,446.27,08.08.2017
AT37 2200 1453 3654 4508,AT99 3877 4273 7047 3592,Auto,136.59,19.11.2017
AT33 9460 1594 8170 4365,AT77 5714 5121 8373 3333,Schulden,684.42,20.11.2017
AT00 3837 1294 3259 1959,AT34 1779 1973 2337 2860,Aktien,564.12,13.05.2018
AT00 3837 1294 3259 1959,AT78 4116 4634 9458 1407,Warenhandel,198.61,01.07.2018
AT47 9309 4409 4792 4785,AT87 6023 4362 1392 0577,Schulden,252.71,08.01.2017
AT67 5686 4643 8701 0396,AT94 6088 9228 6351 2124,Auto,174.65,01.05.2017
AT56 8206 6127 2233 7903,AT08 8242 4149 1806 1191,Aktien,127.85,09.03.2017
AT85 7494 8192 8332 9402,AT48 4644 0976 8993 2171,Aktien,398.74,12.04.2018
AT65 9915 4585 9244 5764,AT34 9862 5121 9751 5569,Schulden,973.95,02.09.2017
AT49 7869 6462 7722 2559,AT57 0089 3636 6067 8915,Neueinrichtung,68.42,04.02.2017
AT73 4879 0209 4159 7619,AT65 9915 4585 9244 5764,Aktien,873.61,16.03.2017
AT65 9915 4585 9244 5764,AT85 7494 8192 8332 9402,Warenhandel,609.21,28.12.2018
AT47 9309 4409 4792 4785,AT77 5714 5121 8373 3333,Aktien,887.40,18.11.2018
AT99 3877 4273 7047 3592,AT55 8940 9044 2599 2567,Auto,507.46,28.03.2018
AT10 0760 7731 4855 1789,AT46 4038 8451 6269 6532,Aktien,593.13,21.10.2018
AT71 8337 5842 2084 3742,AT27 4281 9942 0389 1927,Auto,515.23,19.05.2018
AT57 0089 3636 6067 8915,AT34 1779 1973 2337 2860,Aktien,33.52,12.05.2017
AT27 4281 9942 0389 1927,AT34 2568 3484 0062 8014,Neueinrichtung,460.40,19.03.2017
AT85 7494 8192 8332 9402,AT36 6263 5656 5947 3628,Aktien,714.59,10.01.2017
AT80 3954 6633 3875 0597,AT48 4644 0976 8993 2171,Spende,619.30,15.10.2018
AT89 1722 5241 3201 1443,AT50 5914 7535 5076 3985,Auto,787.21,05.09.2017
AT34 2568 3484 0062 8014,AT80 0414 2633 0638 0714,Spende,839.72,25.02.2018
AT34 1779 1973 2337 2860,AT85 7494 8192 8332 9402,,264.59,21.12.2018
AT95 5079 3033 2191 2643,AT34 9862 5121 9751 5569,Auto,637.28,06.09.2018
AT80 3954 6633 3875 0597,AT80 0414 2633 0638 0714,Auto,95.74,05.03.2018
AT17 4463 0026 7361 8389,AT76 6888 8605 9695 7795,Spende,588.81,10.05.2017
AT11 8048 7611 7051 3113,AT96 2315 8547 9857 4362,,419.21,27.05.2018
AT11 8048 7611 7051 3113,AT76 6888 8605 9695 7795,Warenhandel,866.35,28.01.2018
AT60 2383 6562 9293 9096,AT47 9309 4409 4792 4785,Spende,703.81,13.10.2018
AT65 9915 4585 9244 5764,AT11 8048 7611 7051 3113,Neueinrichtung,901.89,18.06.2017
AT78 6280 7841 3225 0685,AT09 1239 5645 2894 7413,Auto,570.55,05.06.2018
AT50 5914 7535 5076 3985,AT34 9862 5121 9751 5569,Schulden,334.47,02.11.2017
AT60 2383 6562 9293 9096,AT30 9896 8538 8240 1931,,575.79,01.06.2017
AT50 5914 7535 5076 3985,AT96 2315 8547 9857 4362,Schulden,64.50,17.02.2017
AT30 9896 8538 8240 1931,AT11 9371 9162 5540 3652,Neueinrichtung,526.05,01.03.2017
AT48 4644 0976 8993 2171,AT27 4281 9942 0389 1927,Warenhandel,289.75,24.07.2018
AT31 5368 4239 0622 2678,AT76 6888 8605 9695 7795,Neueinrichtung,823.73,07.10.2018
AT33 9460 1594 8170 4365,AT73 0351 6823 5615 7175,Neueinrichtung,959.58,19.08.2018
AT30 9896 8538 8240 1931,AT83 2055 0343 5031 5242,Aktien,863.80,11.07.2018
AT31 5368 4239 0622 2678,AT50 5914 7535 5076 3985,Neueinrichtung,613.28,28.04.2018
AT95 5079 3033 2191 2643,AT34 1779 1973 2337 2860,Aktien,751.89,04.02.2018
AT82 8137 7112 6694 2806,AT60 2383 6562 9293 9096,Spende,68.67,27.06.2018
AT71 8337 5842 2084 3742,AT37 2200 1453 3654 4508,Schulden,40.24,08.09.2017
AT82 8137 7112 6694 2806,AT30 9896 8538 8240 1931,Schulden,606.35,22.01.2018
AT76 6888 8605 9695 7795,AT00 3837 1294 3259 1959,Schulden,37.33,26.02.2018
AT34 1779 1973 2337 2860,AT56 8206 6127 2233 7903,Warenhandel,251.05,15.01.2018
AT37 4165 0290 7991 9354,AT57 0089 3636 6067 8915,Neueinrichtung,198.84,04.09.2017
AT71 7270 8831 6056 9024,AT21 3259 6395 4314 9840,Leben,616.93,01.02.2018
AT46 4038 8451 6269 6532,AT65 9915 4585 9244 5764,Auto,868.41,26.09.2018
AT11 9371 9162 5540 3652,AT73 0351 6823 5615 7175,Aktien,937.94,21.08.2018
AT08 8242 4149 1806 1191,AT82 8137 7112 6694 2806,,321.73,20.02.2017
AT33 9460 1594 8170 4365,AT96 2315 8547 9857 4362,Aktien,819.03,13.11.2017
AT94 6088 9228 6351 2124,AT73 0351 6823 5615 7175,Schulden,862.06,24.03.2017
AT47 9309 4409 4792 4785,AT27 4281 9942 0389 1927,Neueinrichtung,128.57,19.08.2018
AT37 4165 0290 7991 9354,AT87 6023 4362 1392 0577,Neueinrichtung,603.49,03.05.2018
AT31 5368 4239 0622 2678,AT85 7494 8192 8332 9402,Warenhandel,221.08,19.05.2017
AT45 2213 9912 6657 0320,AT55 8940 9044 2599 2567,Aktien,51.07,08.09.2018
AT08 8242 4149 1806 1191,AT09 1239 5645 2894 7413,Warenhandel,75.27,08.05.2017
AT33 9460 1594 8170 4365,AT56 8206 6127 2233 7903,Warenhandel,411.98,11.10.2018
AT25 2252 4773 6239 8605,AT81 1104 3648 6492 1249,,753.59,27.09.2018
AT78 6280 7841 3225 0685,AT57 0089 3636 6067 8915,,595.67,25.07.2017
AT17 4463 0026 7361 8389,AT87 6023 4362 1392 0577,Leben,335.33,13.10.2018
AT85 9841 6026 7949 4737,AT73 7449 0172 9499 3958,Leben,987.34,04.08.2018
AT05 1748 1837 7869 6873,AT37 4165 0290 7991 9354,Auto,355.09,14.09.2017
AT58 0042 4020 9493 7961,AT37 4165 0290 7991 9354,Schulden,970.09,13.09.2018
AT46 4038 8451 6269 6532,AT50 5914 7535 5076 3985,Leben,701.93,20.03.2018
AT73 0351 6823 5615 7175,AT37 2200 1453 3654 4508,Neueinrichtung,399.58,14.04.2017
AT89 1722 5241 3201 1443,AT78 4116 4634 9458 1407,Aktien,169.34,05.11.2018
AT10 0760 7731 4855 1789,AT37 2200 1453 3654 4508,Leben,841.41,02.02.2017
AT57 0089 3636 6067 8915,AT21 3259 6395 4314 9840,Neueinrichtung,135.93,22.06.2017
AT45 2213 9912 6657 0320,AT82 8137 7112 6694 2806,Warenhandel,703.77,15.04.2018
AT48 4644 0976 8993 2171,AT34 2568 3484 0062 8014,Spende,840.32,14.09.2017
AT95 5079 3033 2191 2643,AT47 9309 4409 4792 4785,,987.57,17.01.2018
AT34 9862 5121 9751 5569,AT49 7869 6462 7722 2559,Aktien,523.10,07.11.2018
AT10 0760 7731 4855 1789,AT89 1722 5241 3201 1443,Spende,984.08,03.01.2018
AT32 3293 7887 1273 6568,AT71 8337 5842 2084 3742,Spende,555.00,28.01.2017
AT38 1771 0448 8518 9824,AT60 2383 6562 9293 9096,Leben,158.70,13.02.2018
AT73 2816 5898 3126 3532,AT30 9896 8538 8240 1931,Auto,362.25,05.11.2017
AT33 9460 1594 8170 4365,AT95 5079 3033 2191 2643,Leben,342.88,07.08.2017
AT32 3293 7887 1273 6568,AT73 2816 5898 3126 3532,,113.34,05.09.2017
AT85 7494 8192 8332 9402,AT77 5714 5121 8373 3333,Leben,416.68,13.07.2017
AT73 2816 5898 3126 3532,AT34 9862 5121 9751 5569,Aktien,926.01,08.09.2018
AT83 2055 0343 5031 5242,AT73 2816 5898 3126 3532,Leben,724.06,19.04.2018
AT73 2816 5898 3126 3532,AT83 4593 9652 1831 9309,Spende,352.12,06.07.2018
AT48 4644 0976 8993 2171,AT83 2055 0343 5031 5242,Warenhandel,293.18,03.08.2018
AT87 6023 4362 1392 0577,AT56 8206 6127 2233 7903,Aktien,885.25,02.11.2018
AT09 1239 5645 2894 7413,AT78 6280 7841 3225 0685,Spende,700.87,22.07.2017
AT05 1748 1837 7869 6873,AT09 1239 5645 2894 7413,Auto,244.26,14.01.2017
AT21 3259 6395 4314 9840,AT30 9896 8538 8240 1931,Auto,62.41,14.06.2017
AT87 6023 4362 1392 0577,AT34 1779 1973 2337 2860,Schulden,741.65,06.03.2017
AT30 9896 8538 8240 1931,AT71 8337 5842 2084 3742,Auto,547.16,05.04.2018
AT34 1779 1973 2337 2860,AT73 7449 0172 9499 3958,Warenhandel,907.54,02.04.2017
AT77 0689 8601 7267 2419,AT99 3877 4273 7047 3592,Schulden,636.36,14.02.2018
AT85 7494 8192 8332 9402,AT87 6023 4362 1392 0577,,579.55,02.11.2018
AT89 1722 5241 3201 1443,AT65 9915 4585 9244 5764,Leben,822.22,23.10.2017
AT52 4761 1464 4792 5682,AT95 5079 3033 2191 2643,Schulden,500.34,19.05.2018
AT83 2055 0343 5031 5242,AT11 9371 9162 5540 3652,Neueinrichtung,351.28,04.02.2017
AT67 5686 4643 8701 0396,AT27 4281 9942 0389 1927,Warenhandel,430.17,25.09.2017
AT08 8242 4149 1806 1191,AT83 2055 0343 5031 5242,Schulden,761.27,12.11.2017
AT85 7494 8192 8332 9402,AT76 6888 8605 9695 7795,Warenhandel,284.07,17.01.2018
AT52 4761 1464 4792 5682,AT55 8940 9044 2599 2567,Spende,829.29,28.05.2018
AT73 7449 0172 9499 3958,AT55 8940 9044 2599 2567,Warenhandel,562.12,25.07.2017
AT50 5914 7535 5076 3985,AT89 1722 5241 3201 1443,,868.25,24.02.2018
AT57 6282 2830 8723 9867,AT80 0414 2633 0638 0714,Auto,58.27,02.02.2018
AT11 8048 7611 7051 3113,AT82 8137 7112 6694 2806,Leben,369.13,27.02.2018
AT73 2816 5898 3126 3532,AT37 2200 1453 3654 4508,,521.78,24.08.2018
AT34 2568 3484 0062 8014,AT37 2200 1453 3654 4508,Neueinrichtung,740.25,21.03.2018
AT85 7494 8192 8332 9402,AT37 4165 0290 7991 9354,Warenhandel,844.70,27.09.2017
AT58 0042 4020 9493 7961,AT99 3877 4273 7047 3592,,228.16,19.08.2018
AT48 4644 0976 8993 2171,AT78 4116 4634 9458 1407,,669.76,22.05.2017
AT32 3293 7887 1273 6568,AT81 1104 3648 6492 1249,Aktien,727.39,05.06.2018
AT80 3954 6633 3875 0597,AT00 3837 1294 3259 1959,,834.19,05.08.2017
AT47 9309 4409 4792 4785,AT55 8940 9044 2599 2567,,369.09,13.04.2017
AT05 1748 1837 7869 6873,AT78 6280 7841 3225 0685,Spende,560.35,25.03.2018
AT99 3877 4273 7047 3592,AT95 5079 3033 2191 2643,Schulden,111.21,16.04.2017
AT34 1779 1973 2337 2860,AT60 2383 6562 9293 9096,Neueinrichtung,571.13,11.06.2018
AT82 8137 7112 6694 2806,AT00 3837 1294 3259 1959,Spende,230.54,18.06.2018
AT49 7869 6462 7722 2559,AT71 8337 5842 2084 3742,Aktien,729.49,27.10.2017
AT73 2816 5898 3126 3532,AT27 4281 9942 0389 1927,Warenhandel,73.41,03.08.2017
AT47 9309 4409 4792 4785,AT30 9896 8538 8240 1931,Spende,606.50,22.04.2018
AT48 4644 0976 8993 2171,AT80 0414 2633 0638 0714,Aktien,938.74,20.03.2018
AT61 7283 8477 5641 3823,AT30 9896 8538 8240 1931,Spende,235.15,01.04.2017
AT37 2200 1453 3654 4508,AT83 4593 9652 1831 9309,Spende,604.77,24.04.2017
AT11 8048 7611 7051 3113,AT27 4281 9942 0389 1927,Spende,727.03,10.07.2017
AT37 4165 0290 7991 9354,AT78 4116 4634 9458 1407,Aktien,425.48,14.05.2017
AT37 4165 0290 7991 9354,AT49 7869 6462 7722 2559,Leben,708.98,22.06.2018
AT34 1779 1973 2337 2860,AT73 0351 6823 5615 7175,Auto,295.18,23.10.2018
AT27 4281 9942 0389 1927,AT30 9896 8538 8240 1931,,333.29,08.05.2017
AT27 4281 9942 0389 1927,AT47 9309 4409 4792 4785,Leben,838.28,26.04.2017
AT58 0042 4020 9493 7961,AT96 2315 8547 9857 4362,Leben,60.86,05.06.2018
AT83 2055 0343 5031 5242,AT09 1239 5645 2894 7413,Spende,371.73,21.11.2017
AT76 6888 8605 9695 7795,AT37 2200 1453 3654 4508,,661.29,26.04.2017
AT46 4038 8451 6269 6532,AT77 5714 5121 8373 3333,Leben,509.53,24.10.2018
AT96 2315 8547 9857 4362,AT09 1239 5645 2894 7413,Leben,198.79,02.11.2017
AT09 1239 5645 2894 7413,AT94 6088 9228 6351 2124,Schulden,101.67,27.01.2017
AT32 3293 7887 1273 6568,AT94 6088 9228 6351 2124,Schulden,301.39,02.11.2017
AT85 9841 6026 7949 4737,AT73 7449 0172 9499 3958,Neueinrichtung,904.60,26.06.2017
AT83 4593 9652 1831 9309,AT78 4116 4634 9458 1407,Aktien,110.79,13.05.2017
AT77 0689 8601 7267 2419,AT09 1239 5645 2894 7413,Warenhandel,128.50,03.03.2017
AT45 2213 9912 6657 0320,AT81 1104 3648 6492 1249,Schulden,151.08,08.04.2017
AT94 6088 9228 6351 2124,AT37 2200 1453 3654 4508,Warenhandel,242.69,11.06.2017
AT83 4593 9652 1831 9309,AT76 6888 8605 9695 7795,Neueinrichtung,868.47,03.08.2018
AT48 4644 0976 8993 2171,AT78 6280 7841 3225 0685,Leben,138.41,13.06.2017
AT60 2383 6562 9293 9096,AT78 6280 7841 3225 0685,Spende,286.06,22.07.2017
AT82 8137 7112 6694 2806,AT36 6263 5656 5947 3628,Auto,157.50,18.02.2018
AT85 7494 8192 8332 9402,AT71 7270 8831 6056 9024,Aktien,254.81,02.05.2018
AT49 7869 6462 7722 2559,AT47 9309 4409 4792 4785,Schulden,624.74,25.05.2018
AT87 4186 5190 8996 4168,AT37 4165 0290 7991 9354,Aktien,562.31,21.03.2018
AT09 1239 5645 2894 7413,AT47 9309 4409 4792 4785,Aktien,363.40,22.09.2018
AT78 6280 7841 3225 0685,AT25 2252 4773 6239 8605,Aktien,636.79,02.03.2017
AT71 7270 8831 6056 9024,AT08 8242 4149 1806 1191,Spende,20.82,06.01.2018
AT81 8069 2275 3090 5366,AT08 8242 4149 1806 1191,Spende,352.19,26.12.2018
AT89 1722 5241 3201 1443,AT36 6263 5656 5947 3628,,689.84,25.08.2017
AT37 2200 1453 3654 4508,AT55 8940 9044 2599 2567,Auto,407.22,14.02.2017
AT36 6263 5656 5947 3628,AT37 4165 0290 7991 9354,Neueinrichtung,998.35,06.01.2017
AT61 7283 8477 5641 3823,AT73 2816 5898 3126 3532,Schulden,527.00,09.05.2017
AT56 8206 6127 2233 7903,AT47 9309 4409 4792 4785,Leben,126.59,23.07.2018
AT09 1239 5645 2894 7413,AT23 3627 5889 5495 9166,Neueinrichtung,698.26,05.12.2018
AT77 5714 5121 8373 3333,AT71 7270 8831 6056 9024,Leben,253.99,02.07.2018
AT78 6280 7841 3225 0685,AT57 0089 3636 6067 8915,Auto,675.31,14.02.2018
AT73 2816 5898 3126 3532,AT30 9896 8538 8240 1931,Spende,602.75,10.04.2017
AT87 4186 5190 8996 4168,AT37 2200 1453 3654 4508,Aktien,621.34,19.10.2017
AT30 9896 8538 8240 1931,AT57 0089 3636 6067 8915,Auto,958.71,28.10.2017
AT00 3837 1294 3259 1959,AT73 0351 6823 5615 7175,,356.45,08.06.2018
AT27 4281 9942 0389 1927,AT80 0414 2633 0638 0714,Schulden,734.10,11.07.2017
AT57 0089 3636 6067 8915,AT27 4281 9942 0389 1927,Leben,435.88,23.09.2018
AT45 2213 9912 6657 0320,AT94 6088 9228 6351 2124,Schulden,543.97,20.09.2017
AT21 3259 6395 4314 9840,AT95 5079 3033 2191 2643,Schulden,761.45,04.04.2018
AT34 1779 1973 2337 2860,AT31 5368 4239 0622 2678,Aktien,301.74,26.09.2018
AT73 4879 0209 4159 7619,AT48 4644 0976 8993 2171,Leben,846.59,14.09.2017
AT85 9841 6026 7949 4737,AT87 6023 4362 1392 0577,Warenhandel,809.53,23.01.2018
AT83 2055 0343 5031 5242,AT11 8048 7611 7051 3113,Leben,411.68,26.02.2017
AT80 0414 2633 0638 0714,AT30 9896 8538 8240 1931,Warenhandel,718.03,16.08.2018
AT60 2383 6562 9293 9096,AT08 8242 4149 1806 1191,Neueinrichtung,975.79,13.04.2018
AT52 4761 1464 4792 5682,AT37 2200 1453 3654 4508,Auto,432.64,11.01.2017
AT58 0042 4020 9493 7961,AT83 4593 9652 1831 9309,,67.43,07.09.2018
AT81 8069 2275 3090 5366,AT78 6280 7841 3225 0685,Schulden,176.00,16.03.2018
